Date,Time,RunNumber,PedestalRunNumber,AliNEvents,Rotation,Rotation Sensor,Rotation Stage,Bias Volt,Run Type,Config file,Sensor Temp.,Air Temp.,Air Humid.,Cu Plate Temp.,TelescopeRunNumber,TelNEvents,Rate (Hz),BeamEnergy,Config file,MagneticField,Current on Power supply,I-Coil,GearFileName,Comments
28/10/13,14:27,436,000436,20,0,,,-300,ped,CCE_Ped.ini,-24.07,-0.44,5.86,-27.39,-,-,-,-,-,0.5,220.7,219,gear-TB5-B050,-
28/10/13,15:02,441,000441,20,0,,,-250,ped,CCE_Ped.ini,-24.17,-0.52,5.76,-27.46,-,-,-,-,-,0.5,220.7,219,gear-TB5-B050,-
28/10/13,15:10,446,000446,20,0,,,-200,ped,CCE_Ped.ini,-24.21,-0.37,5.72,-27.4,-,-,-,-,-,0.5,220.7,219,gear-TB5-B050,-
28/10/13,15:34,448,000448,20,0,,,-150,ped,CCE_Ped.ini,-23.9,0.38,5.6,-27.17,-,-,-,-,-,0.5,220.7,219,gear-TB5-B050,-
28/10/13,16:01,453,000453,20,0,,,-100,ped,CCE_Ped.ini,-24.15,0.15,5.44,-27.3,-,-,-,-,-,0.5,220.7,219,gear-TB5-B050,-
28/10/13,19:27,456,000456,20,0,,,-100,ped,CCE_Ped.ini,-24.25,-0.38,5.44,-27.47,-,-,-,-,-,0.5,220.7,219,gear-TB5-B050,-
28/10/13,19:33,461,000461,20,0,,,-50,ped,CCE_Ped.ini,-24.2,-0.44,5.41,-27.46,-,-,-,-,-,0.5,220.7,219,gear-TB5-B050,-
28/10/13,11:09:00,405,000405,20,0,,,-600,ped,CCE_Ped.ini,-24.5,-0.24,5.88,-27.77,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,10:35,401,000401,20,0,,,-550,ped,CCE_Ped.ini,-24.6,-0.11,5.8,-27.78,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
27/10/13,16:04:00,304,000304,20,20,,,-500,ped,LAM_Ped.ini,-24.72,-0.52,6.12,-27.92,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
,22:43,330,000330,20,0,,,-500,ped,LAM_Ped.ini,-24.55,-1.02,5.97,-27.73,-,-,-,4.4,LAM_coins_telescope_and_alibava,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,4:12,351,000351,20,-20,,,-500,ped,LAM_Ped.ini,-24.66,-0.87,5.69,-27.9,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,9:43,397,000397,20,0,,,-500,ped,CCE_Ped.ini,-24.59,-0.42,5.8,-27.8,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
30/10/13,16:42,677,000677,20,-20,,,-500,ped,LAM_Ped_v3.ini,-23.89,4.46,5.52,-27.15,-,-,-,-,-,0.75,331,328.5,gear-TB5-B075,-
30/10/13,,698,000698,20,0,,,-500,ped,LAM_Ped_v3.ini,,,,,,-,,-,-,0.75,331,328.5,gear-TB5-B075,-
31/10/13,1:21:00,716,000716,20,20.1,,,-500,ped,LAM_Ped_v3.ini,-24.23,3.8,5.47,-27.35,-,-,-,-,-,0.75,331,328.5,gear-TB5-B075,-
28/10/13,8:42,391,000391,20,0,,,-450,ped,CCE_Ped.ini,-24.64,-0.46,5.74,-27.93,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,8:12,386,000386,20,0,,,-400,ped,CCE_Ped.ini,-24.67,-0.34,5.62,-27.95,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,7:49,382,000382,20,0,,,-350,ped,CCE_Ped.ini,-24.68,-0.47,5.63,-27.95,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,7:24,378,000378,20,0,,,-300,ped,CCE_Ped.ini,-24.69,-0.55,5.61,-27.92,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,6:44,373,000373,20,0,,,-250,ped,CCE_Ped.ini,-24.72,-0.47,5.47,-27.96,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,6:18,369,000369,20,0,,,-200,ped,CCE_Ped.ini,-24.63,-0.54,5.44,-27.9,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,5:28,363,000363,20,0,,,-150,ped,CCE_Ped.ini,-24.58,-0.49,5.39,-27.86,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,5:05,359,000359,20,0,,,-100,ped,CCE_Ped.ini,-24.62,-0.56,5.39,-27.88,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
28/10/13,4:27,354,000354,20,0,,,-50,ped,CCE_Ped.ini,-24.63,-0.78,5.5,-27.8,-,-,-,-,-,0.75,330.6,328.5,gear-TB5-B075,-
27/10/13,15:14,302,000302,20,0,,,-600,ped,CCE_Ped.ini,-24.46,-0.46,6.17,-27.75,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,15:09,297,000297,20,0,,,-550,ped,CCE_Ped.ini,-24.49,-0.42,6.2,-27.27,-,-,-,-,-,1,441,438,gear-TB5-B100,-
26/10/13,19:28,210,000210,20,20,,,-500,ped,LAM_ped.ini,-26.04,-0.8,6.32,-29.34,-,-,-,-,-,1,441,438,gear-TB5-B100,-
26/10/13,0:57:00,228,000228,20,0,,,-500,ped,LAM_Ped.ini,-25.01,-0.3,6.19,-28.31,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,4:23,245,000245,20,0,,,-500,ped,LAM_Ped.ini,-24.92,-0.41,6.35,-28.26,-,-,-,-,-,1,441,438,gear-TB5-B100,Sudden change of date sorry. Also these ped+cal where after I changed to 0 degrees to take CCE measurements
27/10/13,14:32,294,000294,20,0,,,-500,ped,CCE_Ped.ini,-24.59,-0.37,6.23,-27.87,-,-,-,-,-,1,441,438,gear-TB5-B100,-
29/10/13,14:38:00,585,000585,20,-20,,,-500,ped,LAM_Ped.ini,-24.23,-0.44,4.61,-27.37,-,-,-,-,-,1,441,438,gear-TB5-B100,-
30/10/13,0:43,629,000629,20,20,,,-500,ped,LAM_Ped_v3.ini,-24.26,-0.33,4.5,-27.32,-,-,-,-,-,1,441,438,gear-TB5-B100,-
30/10/13,6:35,661,000661,20,-20,,,-500,ped,LAM_Ped_v3.ini,24.04,-0.12,4.32,-27.23,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,14:26:00,289,000289,20,0,,,-450,ped,CCE_Ped.ini,-24.63,-0.37,6.24,-27.89,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,12:59,282,000282,20,0,,,-400,ped,CCE_Ped.ini,-24.65,-0.45,6.25,-27.97,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,12:55,279,000279,20,0,,,-350,ped,CCE_Ped.ini,-24.66,-0.46,6.25,-27.97,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,12:15,274,000274,20,0,,,-300,ped,CCE_Ped.ini,-24.54,-0.37,6.2,-27.87,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,6:31,269,000269,20,0,,,-250,ped,CCE_Ped.ini,-24.7,-0.31,6.28,-28.09,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,6:05,265,000265,20,0,,,-200,ped,CCE_Ped.ini,-24.71,-0.19,6.26,-28.06,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,5:40,260,000260,20,0,,,-150,ped,CCE_Ped.ini,-24.75,-0.34,6.26,-28.16,-,-,-,-,-,1,441,438,gear-TB5-B100,-
30/10/13,7:17,668,000668,20,0,,,-150,ped,CCE_Ped.ini,24.07,-0.17,4.35,-27.22,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,5:09,255,000255,20,0,,,-100,ped,CCE_Ped.ini,-24.87,-0.39,6.27,-28.21,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,4:37,248,000248,20,0,,,-50,ped,CCE_Ped.ini,-24.84,-0.33,6.28,-28.24,-,-,-,-,-,1,441,438,gear-TB5-B100,-
27/10/13,4:59,252,000252,20,0,,,-50,ped,CCE_Ped.ini,-24.85,-0.15,6.28,-28.23,-,-,-,-,-,1,441,438,gear-TB5-B100,Forgot to change voltage. Dummbacke!
26/10/13,,163,000163,20,0,,,-600,ped,CCE_Ped.ini,,,,,,,,,-,-,-,-,gear-TB5-B000,
26/10/13,,162,000162,20,0,,,-550,ped,CCE_Ped.ini,,,,,,,,,-,-,-,-,gear-TB5-B000,
23/10/13,,42,000042,20,0,,,-500,ped,LAM_TB5_kazu_ped.ini,-12.8,7.9,3.8,-15,-,-,-,-,-,-,-,-,gear-TB5-B000,-
26/10/13,,161,000161,20,0,,,-500,ped,CCE_Ped.ini,,,,,,,,,-,-,-,-,gear-TB5-B000,
26/10/13,,193,000193,20,0,,,-500,ped,LAM_Ped.ini,-25.37,-0.15,5.85,-28.91,-,-,-,4.4,LAM_coins_telescope_and_alibava,-,-,-,gear-TB5-B000,
26/10/13,17:12,207,000207,20,20,,,-500,ped,LAM_ped.ini,-25.28,-0.02,5.86,-28.72,-,-,-,-,-,-,-,-,gear-TB5-B000,-
26/10/13,,160,000160,20,0,,,-450,ped,CCE_Ped.ini,-25.45,-0.7,5.89,-28.9,-,-,-,,-,-,-,-,gear-TB5-B000,
26/10/13,,159,000159,20,0,,,-400,ped,CCE_Ped.ini,-25.45,-0.72,5.89,-28.98,-,-,-,,-,-,-,-,gear-TB5-B000,
26/10/13,,151,000151,20,0,,,-350,ped,CCE_Ped.ini,-25.42,-0.54,5.87,-28.9,-,-,-,,,-,-,-,gear-TB5-B000,
26/10/13,,158,000158,20,0,,,-300,ped,CCE_Ped.ini,-25.46,-0.7,5.9,-28.96,-,-,-,,-,-,-,-,gear-TB5-B000,
25/10/13,,129,000129,20,0,,,-250,ped,LAM_TB5_kazu_ped.ini,-25.4,3.3,5.6,-28.8,,,,,,-,-,-,gear-TB5-B000,
25/10/13,,125,000125,20,0,,,-200,ped,LAM_TB5_kazu_ped.ini,-24.1,4.9,5.5,-27.4,,,,,,-,-,-,gear-TB5-B000,
23/10/13,,19,000019,100,0,,,-150,ped,LAM_TB5_kazu.ini,-12.93,7.44,4.17,-15,,,,4,,-,-,-,gear-TB5-B000,beam was on
25/10/13,,121,000121,20,0,,,-150,ped,LAM_TB5_kazu_ped.ini,-25,3.6,5.4,-28.3,,,,,,-,-,-,gear-TB5-B000,
25/10/13,,115,000115,20,0,,,-100,ped,LAM_TB5_kazu_ped.ini,,,,,,,,,,-,-,-,gear-TB5-B000,
23/10/13,,98,000098,25,0,,,-50,ped,LAM_TB5_kazu.ini,-13.14,7.18,3.01,-15,-,,,4.4,LAM_coins_telescope_and_alibava,-,-,-,gear-TB5-B000,beam on again. No more.
25/10/13,,111,000111,20,0,,,-50,ped,LAM_TB5_kazu_ped.ini,-23.1,4,5.6,-26.2,,,,,,-,-,-,gear-TB5-B000,temperature of DUT changes (2degrees)
23/10/13,,23,000023,100,0,,,,ped,LAM_TB5_kazu.ini,,,,,,,,4,,-,-,-,gear-TB5-B000,beam was on
23/10/13,,26,000026,100,0,,,,ped,LAM_TB5_kazu.ini,,,,,,,,4,,-,-,-,gear-TB5-B000,beam was on
23/10/13,,29,000029,100,0,,,,ped,LAM_TB5_kazu.ini,,,,,,,,4,,-,-,-,gear-TB5-B000,beam was on
23/10/13,,32,000032,100,0,,,,ped,LAM_TB5_kazu.ini,,,,,,,,4,,-,-,-,gear-TB5-B000,beam was on
23/10/13,,15,000015,100,0,,,-100,pedestal,,-12.9,7.6,4.2,-15,,,,4,,-,-,-,gear-TB5-B000,beam was on
23/10/13,,11,000011,100,0,,,-50,pedestal,,-12.9,7.6,4.2,-15,,,,4,LAM_coins_telescope_and_alibava,-,-,-,gear-TB5-B000,beam was on
30/10/13,3:39,645,000645,20,0,,,-500,ped,LAM_Ped_v3.ini,-,-,-,-,-,-,-,-,-,,,,gear-TB5-B000,look delay for temperature. Sorry forgot
31/10/13,21:11,1001,001001,20,0,,,-100,ped,CCE_Ped_v3.ini,-25.19,-2,7.88,-7.11,-,-,-,-,-,0,0,0,gear-TB5-B000,-
31/10/13,21:57,1006,001006,20,0,,,-200,ped,CCE_Ped_v3.ini,-25.07,-1.92,7.72,-10.6,-,-,-,-,-,0,0,0,gear-TB5-B000,-
31/10/13,22:08,1011,001011,20,0,,,-300,ped,CCE_Ped_v3.ini,-25.14,-2.03,7.7,-13.4,-,-,-,-,-,0,0,0,gear-TB5-B000,-
31/10/13,23:18,1015,001015,20,0,,,-300,ped,CCE_Ped_v3.ini,-25.16,-2.1,7.69,-13.2,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,0:17,1017,001017,20,0,,,-400,ped,CCE_Ped_v3.ini,-25.08,-2.13,7.69,-15.9,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,0:40,1021,001021,20,0,,,-500,ped,CCE_Ped_v3.ini,-25.15,-2.23,7.72,-18,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,1:27,1025,001025,20,0,,,-600,ped,CCE_Ped_v3.ini,-25.13,-2.08,7.72,-21,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,2:03,1029,001029,20,0,,,-700,ped,CCE_Ped_v3.ini,-25.1,-2.16,7.75,-23,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,2:27,1033,001033,20,0,,,-800,ped,CCE_Ped_v3.ini,-25.12,-2.2,7.76,-26,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,4:38,1042,001042,20,0,,,-900,ped,CCE_Ped_v3.ini,-25.07,-2.26,7.81,-30,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,12:28,1050,001050,20,0,,,-1000,ped,CCE_Ped_v3.ini,-24.69,-2.34,8.12,-36,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,13:09,1054,001054,20,-20,,,-500,ped,LAM_Ped_v3.ini,-24.69,-2.35,8.09,-18.12,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,13:54,1058,001058,20,-16,,,-500,ped,LAM_Ped_v3.ini,-24.69,-2.2,8.08,-18.2,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/01/13,20:45,1072,001072,20,0,,,-500,ped,LAM_Ped_v3.ini,-24.55,-2.29,8.33,-18.8,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/02/13,6:22,1093,001093,20,20,,,-500,ped,LAM_Ped_v3.ini,-24.43,-2.69,8.35,-19,-,-,-,-,-,0,0,0,gear-TB5-B000,-
11/02/13,7:59,1099,001099,20,20,,,-500,ped,LAM_Ped_v3.ini,-24.4,-2.58,8.31,-19.38,-,-,-,-,-,1,441.09,438,gear-TB5-B100,-
11/03/13,5:23,1112,001112,20,7,,,-500,ped,LAM_Ped_v3.ini,-23.86,-2.58,8.73,-20,-,-,-,-,-,1,441.09,438,gear-TB5-B100,-
11/03/13,11:54,1125,001125,20,0,,,-500,ped,LAM_Ped_v3.ini,-22.91,-2.4,8.32,-20.85,-,-,-,-,-,1,441.09,438,gear-TB5-B100,-
11/03/13,21:58,1140,001140,20,-20,,,-500,ped,LAM_Ped_v3.ini,-22.81,1.02,7.45,-21,-,-,-,-,-,1,441.09,438,gear-TB5-B100,-
11/03/13,22:19,1144,001144,20,-20,,,-500,ped,LAM_Ped_v3.ini,-22.81,0.91,7.43,-21,-,-,-,-,-,0.75,330.75,328.48,gear-TB5-B075,-
11/04/13,6:26,1162,001162,20,0,,,-500,ped,LAM_Ped_v3.ini,-22.8,0.59,7.51,-22.1,-,-,,-,-,0.75,330.75,328.48,gear-TB5-B075,-
11/04/13,14:23,1177,001177,20,20,,,-500,ped,LAM_Ped_v3.ini,-22.61,0.21,8.05,-22.9,-,-,-,-,-,0.75,330.75,328.48,gear-TB5-B075,-
11/04/13,15:30,1181,001181,20,-20,,,-500,ped,LAM_Ped_v3.ini,-22.43,1.19,7.64,-22.1,-,-,-,-,-,0.5,220.66,219,gear-TB5-B050,-
11/05/13,0:14,1201,001201,20,1,,,-500,ped,LAM_Ped_v3.ini,-22.29,1.28,7.32,-23.4,-,-,-,-,-,0.5,220.66,219,gear-TB5-B050,-
11/05/13,8:24,1217,001217,20,20,,,-500,ped,LAM_Ped_v3.ini,-22.15,0.89,7.49,-24.5,-,-,-,-,-,0.5,220.66,219,gear-TB5-B050,-
11/05/13,8:38,1220,001220,20,20,,,-500,ped,LAM_Ped_v3.ini,-22.15,0.89,7.49,-24.5,-,-,-,-,-,0.25,110.56,109.5,gear-TB5-B025,-
11/05/13,17:27,1236,001236,20,0,,,-500,ped,LAM_Ped_v3.ini,-21.68,2.05,7.03,-25.29,-,-,-,-,-,0.25,110.56,109.5,gear-TB5-B025,-
11/05/13,1:49,1251,001251,20,-20,,,-500,ped,LAM_Ped_v3.ini,-21.63,2.42,6.62,-24.44,-,-,-,-,-,0.25,110.56,109.5,gear-TB5-B025,-
11/06/13,2:31,1256,001256,20,20,,,-500,ped,LAM_Ped_v3.ini,-21.74,1.51,6.88,-25.4,-,-,-,-,-,1,441.09,438,gear-TB5-B100,
11/06/13,5:34,1269,001269,20,0,,,-800,ped,CCE_Ped_v3.ini,-21.67,1.44,6.91,-38.5,-,-,-,-,-,0,0,0,gear-TB5-B000,
11/06/13,6:52,1275,001275,20,0,,,-100,ped,CCE_Ped_v3.ini,-21.65,1.6,6.98,-9.3,-,-,-,-,-,0,0,0,gear-TB5-B000,
11/06/13,15:39:00,2003,002003,20,0,,,-100,ped,CCE_Ped_v3.ini,-21.15,2.64,7.58,-25.14,-,-,-,-,-,0,0,0,gear-TB5-B075,-
11/06/13,16:10:00,2007,002007,20,0,,,-200,ped,CCE_Ped_v3.ini,-21.25,2.42,7.62,-38.25,-,-,-,-,-,0,0,0,gear-TB5-B050,-
11/06/13,17:11:00,2013,002013,20,0,,,-300,ped,CCE_Ped_v3.ini,-21.29,2.45,7.68,-51.57,-,-,-,-,-,0,0,0,gear-TB5-B050,-
