DutNum;RunNum;DutID;Bias;Irrad;
0;11;6;-50;0;
0;11;7;-50;0;
0;15;6;-100;0;
0;15;7;-100;0;
0;19;6;-150;0;
0;19;7;-150;0;
0;23;6;;0;
0;23;7;;0;
0;26;6;;0;
0;26;7;;0;
0;29;6;;0;
0;29;7;;0;
0;32;6;;0;
0;32;7;;0;
0;42;6;-500;0;
0;42;7;-500;0;
0;98;6;-50;0;
0;98;7;-50;0;
0;111;6;-50;0;
0;111;7;-50;0;
0;115;6;-100;0;
0;115;7;-100;0;
0;121;6;-150;0;
0;121;7;-150;0;
0;125;6;-200;0;
0;125;7;-200;0;
0;129;6;-250;0;
0;129;7;-250;0;
0;151;6;-350;0;
0;151;7;-350;0;
0;158;6;-300;0;
0;158;7;-300;0;
0;159;6;-400;0;
0;159;7;-400;0;
0;160;6;-450;0;
0;160;7;-450;0;
0;161;6;-500;0;
0;161;7;-500;0;
0;162;6;-550;0;
0;162;7;-550;0;
0;163;6;-600;0;
0;163;7;-600;0;
0;193;6;-500;0;
0;193;7;-500;0;
0;207;6;-500;0;
0;207;7;-500;0;
0;210;6;-500;0;
0;210;7;-500;0;
0;228;6;-500;0;
0;228;7;-500;0;
0;245;6;-500;0;
0;245;7;-500;0;
0;248;6;-50;0;
0;248;7;-50;0;
0;252;6;-50;0;
0;252;7;-50;0;
0;255;6;-100;0;
0;255;7;-100;0;
0;260;6;-150;0;
0;260;7;-150;0;
0;265;6;-200;0;
0;265;7;-200;0;
0;269;6;-250;0;
0;269;7;-250;0;
0;274;6;-300;0;
0;274;7;-300;0;
0;279;6;-350;0;
0;279;7;-350;0;
0;282;6;-400;0;
0;282;7;-400;0;
0;289;6;-450;0;
0;289;7;-450;0;
0;294;6;-500;0;
0;294;7;-500;0;
0;297;6;-550;0;
0;297;7;-550;0;
0;302;6;-600;0;
0;302;7;-600;0;
0;304;6;-500;0;
0;304;7;-500;0;
0;330;6;-500;0;
0;330;7;-500;0;
0;351;6;-500;0;
0;351;7;-500;0;
0;354;6;-50;0;
0;354;7;-50;0;
0;359;6;-100;0;
0;359;7;-100;0;
0;363;6;-150;0;
0;363;7;-150;0;
0;369;6;-200;0;
0;369;7;-200;0;
0;373;6;-250;0;
0;373;7;-250;0;
0;378;6;-300;0;
0;378;7;-300;0;
0;382;6;-350;0;
0;382;7;-350;0;
0;386;6;-400;0;
0;386;7;-400;0;
0;391;6;-450;0;
0;391;7;-450;0;
0;397;6;-500;0;
0;397;7;-500;0;
0;401;6;-550;0;
0;401;7;-550;0;
0;405;6;-600;0;
0;405;7;-600;0;
0;409;6;-600;0;
0;409;7;-600;0;
0;414;6;-550;0;
0;414;7;-550;0;
0;417;6;-500;0;
0;417;7;-500;0;
0;422;6;-450;0;
0;422;7;-450;0;
0;426;6;-400;0;
0;426;7;-400;0;
0;431;6;-350;0;
0;431;7;-350;0;
0;436;6;-300;0;
0;436;7;-300;0;
0;441;6;-250;0;
0;441;7;-250;0;
0;446;6;-200;0;
0;446;7;-200;0;
0;448;6;-150;0;
0;448;7;-150;0;
0;453;6;-100;0;
0;453;7;-100;0;
0;456;6;-100;0;
0;456;7;-100;0;
0;461;6;-50;0;
0;461;7;-50;0;
0;463;6;-500;0;
0;463;7;-500;0;
0;481;6;-500;0;
0;481;7;-500;0;
0;496;6;-500;0;
0;496;7;-500;0;
0;499;6;-500;0;
0;499;7;-500;0;
0;515;6;-500;0;
0;515;7;-500;0;
0;530;6;-500;0;
0;530;7;-500;0;
0;533;6;-600;0;
0;533;7;-600;0;
0;538;6;-550;0;
