DutNum;RunNum;DutID;Irrad;Rotation;RotationSensor;RotationStage;NegRotation;BiasVolt;SensorTemp;BeamEnergy;B;CalculatedB;Current on Power supply;
1;1121;7;1E+15;3;;;-3;-500;-23.65;4.4;1;1.022317832;441.09;
1;1122;6;5E+14;2;;;-2;-500;-23.59;4.4;1;1.022317832;441.09;
1;1122;7;1E+15;2;;;-2;-500;-23.59;4.4;1;1.022317832;441.09;
1;1123;6;5E+14;1;;;-1;-500;-23.24;4.4;1;1.022317832;441.09;
1;1123;7;1E+15;1;;;-1;-500;-23.24;4.4;1;1.022317832;441.09;
1;1124;6;5E+14;0;;;0;-500;-22.91;4.4;1;1.022317832;441.09;
1;1124;7;1E+15;0;;;0;-500;-22.91;4.4;1;1.022317832;441.09;
1;1128;6;5E+14;-1;;;1;-500;-22.97;4.4;1;1.022317832;441.09;
1;1128;7;1E+15;-1;;;1;-500;-22.97;4.4;1;1.022317832;441.09;
1;1129;6;5E+14;-2;;;2;-500;-22.94;4.4;1;1.022317832;441.09;
1;1129;7;1E+15;-2;;;2;-500;-22.94;4.4;1;1.022317832;441.09;
1;1130;6;5E+14;-3;;;3;-500;-22.86;4.4;1;1.022317832;441.09;
1;1130;7;1E+15;-3;;;3;-500;-22.86;4.4;1;1.022317832;441.09;
1;1131;6;5E+14;-4;;;4;-500;-22.84;4.4;1;1.022317832;441.09;
1;1131;7;1E+15;-4;;;4;-500;-22.84;4.4;1;1.022317832;441.09;
1;1132;6;5E+14;-5;;;5;-500;-22.84;4.4;1;1.022317832;441.09;
1;1132;7;1E+15;-5;;;5;-500;-22.84;4.4;1;1.022317832;441.09;
1;1133;6;5E+14;-6;;;6;-500;-22.77;4.4;1;1.022317832;441.09;
1;1133;7;1E+15;-6;;;6;-500;-22.77;4.4;1;1.022317832;441.09;
1;1134;6;5E+14;-7;;;7;-500;-22.58;4.4;1;1.022317832;441.09;
1;1134;7;1E+15;-7;;;7;-500;-22.58;4.4;1;1.022317832;441.09;
1;1135;6;5E+14;-8;;;8;-500;-22.71;4.4;1;1.022317832;441.09;
1;1135;7;1E+15;-8;;;8;-500;-22.71;4.4;1;1.022317832;441.09;
1;1136;6;5E+14;-10;;;10;-500;-22.72;4.4;1;1.022317832;441.09;
1;1136;7;1E+15;-10;;;10;-500;-22.72;4.4;1;1.022317832;441.09;
1;1137;6;5E+14;-12;;;12;-500;-22.79;4.4;1;1.022317832;441.09;
1;1137;7;1E+15;-12;;;12;-500;-22.79;4.4;1;1.022317832;441.09;
1;1138;6;5E+14;-16;;;16;-500;-22.82;4.4;1;1.022317832;441.09;
1;1138;7;1E+15;-16;;;16;-500;-22.82;4.4;1;1.022317832;441.09;
1;1139;6;5E+14;-20;;;20;-500;-22.81;4.4;1;1.022317832;441.09;
1;1139;7;1E+15;-20;;;20;-500;-22.81;4.4;1;1.022317832;441.09;
1;1148;6;5E+14;-20;;;20;-500;-22.81;4.4;0.75;0.7669028;330.75;
1;1148;7;1E+15;-20;;;20;-500;-22.81;4.4;0.75;0.7669028;330.75;
1;1149;6;5E+14;-16;;;16;-500;-22.77;4.4;0.75;0.7669028;330.75;
1;1149;7;1E+15;-16;;;16;-500;-22.77;4.4;0.75;0.7669028;330.75;
1;1150;6;5E+14;-12;;;12;-500;-22.8;4.4;0.75;0.7669028;330.75;
1;1150;7;1E+15;-12;;;12;-500;-22.8;4.4;0.75;0.7669028;330.75;
1;1151;6;5E+14;-10;;;10;-500;-22.84;4.4;0.75;0.7669028;330.75;
1;1151;7;1E+15;-10;;;10;-500;-22.84;4.4;0.75;0.7669028;330.75;
1;1152;6;5E+14;-8;;;8;-500;-22.83;4.4;0.75;0.7669028;330.75;
1;1152;7;1E+15;-8;;;8;-500;-22.83;4.4;0.75;0.7669028;330.75;
1;1153;6;5E+14;-7;;;7;-500;-22.78;4.4;0.75;0.7669028;330.75;
1;1153;7;1E+15;-7;;;7;-500;-22.78;4.4;0.75;0.7669028;330.75;
1;1154;6;5E+14;-6;;;6;-500;-22.91;4.4;0.75;0.7669028;330.75;
1;1154;7;1E+15;-6;;;6;-500;-22.91;4.4;0.75;0.7669028;330.75;
1;1155;6;5E+14;-5;;;5;-500;-22.79;4.4;0.75;0.7669028;330.75;
1;1155;7;1E+15;-5;;;5;-500;-22.79;4.4;0.75;0.7669028;330.75;
1;1157;6;5E+14;-4;;;4;-500;-23.29;4.4;0.75;0.7669028;330.75;
1;1157;7;1E+15;-4;;;4;-500;-23.29;4.4;0.75;0.7669028;330.75;
1;1158;6;5E+14;-3;;;3;-500;-22.85;4.4;0.75;0.7669028;330.75;
1;1158;7;1E+15;-3;;;3;-500;-22.85;4.4;0.75;0.7669028;330.75;
1;1159;6;5E+14;-2;;;2;-500;-22.78;4.4;0.75;0.7669028;330.75;
1;1159;7;1E+15;-2;;;2;-500;-22.78;4.4;0.75;0.7669028;330.75;
1;1160;6;5E+14;-1;;;1;-500;-22.73;4.4;0.75;0.7669028;330.75;
1;1160;7;1E+15;-1;;;1;-500;-22.73;4.4;0.75;0.7669028;330.75;
1;1161;6;5E+14;0;;;0;-500;-22.74;4.4;0.75;0.7669028;330.75;
1;1161;7;1E+15;0;;;0;-500;-22.74;4.4;0.75;0.7669028;330.75;
1;1165;6;5E+14;1;;;-1;-500;-22.75;4.4;0.75;0.7669028;330.75;
1;1165;7;1E+15;1;;;-1;-500;-22.75;4.4;0.75;0.7669028;330.75;
1;1166;6;5E+14;2;;;-2;-500;-22.77;4.4;0.75;0.7669028;330.75;
1;1166;7;1E+15;2;;;-2;-500;-22.77;4.4;0.75;0.7669028;330.75;
1;1167;6;5E+14;3;;;-3;-500;-22.69;4.4;0.75;0.7669028;330.75;
1;1167;7;1E+15;3;;;-3;-500;-22.69;4.4;0.75;0.7669028;330.75;
1;1168;6;5E+14;4;;;-4;-500;-22.76;4.4;0.75;0.7669028;330.75;
1;1168;7;1E+15;4;;;-4;-500;-22.76;4.4;0.75;0.7669028;330.75;
1;1169;6;5E+14;5;;;-5;-500;-22.69;4.4;0.75;0.7669028;330.75;
1;1169;7;1E+15;5;;;-5;-500;-22.69;4.4;0.75;0.7669028;330.75;
1;1170;6;5E+14;6;;;-6;-500;-22.69;4.4;0.75;0.7669028;330.75;
1;1170;7;1E+15;6;;;-6;-500;-22.69;4.4;0.75;0.7669028;330.75;
1;1171;6;5E+14;7;;;-7;-500;-22.7;4.4;0.75;0.7669028;330.75;
1;1171;7;1E+15;7;;;-7;-500;-22.7;4.4;0.75;0.7669028;330.75;
1;1172;6;5E+14;8;;;-8;-500;-22.66;4.4;0.75;0.7669028;330.75;
1;1172;7;1E+15;8;;;-8;-500;-22.66;4.4;0.75;0.7669028;330.75;
1;1173;6;5E+14;10;;;-10;-500;-22.66;4.4;0.75;0.7669028;330.75;
1;1173;7;1E+15;10;;;-10;-500;-22.66;4.4;0.75;0.7669028;330.75;
1;1174;6;5E+14;12;;;-12;-500;-22.7;4.4;0.75;0.7669028;330.75;
1;1174;7;1E+15;12;;;-12;-500;-22.7;4.4;0.75;0.7669028;330.75;
1;1175;6;5E+14;16;;;-16;-500;-22.64;4.4;0.75;0.7669028;330.75;
1;1175;7;1E+15;16;;;-16;-500;-22.64;4.4;0.75;0.7669028;330.75;
1;1176;6;5E+14;20;;;-20;-500;-22.62;4.4;0.75;0.7669028;330.75;
1;1176;7;1E+15;20;;;-20;-500;-22.62;4.4;0.75;0.7669028;330.75;
1;1180;6;5E+14;-20;;;20;-500;-22.47;4.4;0.75;0.7669028;330.75;
1;1180;7;1E+15;-20;;;20;-500;-22.47;4.4;0.75;0.7669028;330.75;
1;1186;6;5E+14;-20;;;20;-500;-22.45;4.4;0.5;0.512066468;220.66;
1;1186;7;1E+15;-20;;;20;-500;-22.45;4.4;0.5;0.512066468;220.66;
1;1187;6;5E+14;-16;;;16;-500;-22.37;4.4;0.5;0.512066468;220.66;
1;1187;7;1E+15;-16;;;16;-500;-22.37;4.4;0.5;0.512066468;220.66;
