Date,Time,RunNumber,PedestalRunNumber,EventIDDiff,SkipEvents,AliNEvents,Rotation,Rotation Sensor,Rotation Stage,Bias Volt,Config file,Sensor Temp.,Air Temp.,Air Humid.,Cu Plate Temp.,TelescopeRunNumber,TelNEvents,Rate (Hz),BeamEnergy,Config file,MagneticField,Current on Power supply,I-Coil,GearFileName,Comments
6/11/2013,17:17:00,2019,002018,-1,,300,0,,,-400,CCE_v4.ini,-21.23,2.39,7.68,-67.69,001409,300,165,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
6/11/2013,17:48:00,2020,002021,-1,,300,0,,,-500,CCE_v4.ini,-21.14,2.54,7.66,-88.75,001410,300,181,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
6/11/2013,18:25:00,2027,002026,-1,,300,0,,,-600,CCE_v4.ini,-21.14,2.68,7.67,-123.88,001411,300,-,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
7/11/2013,20:54:00,2075,002072,-1,,300,0,,,-700,CCE_v4.ini,-23.52,-3.4,5.17,-109.3,001447,300,176,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,"forgot to stop telescope run, ignore last 367 events"
12/11/2013,12:09,2301,002302,-1,,300,0,,,see comment,CCE_v4.ini,-23.5,1.54,7.81,see comment,001612,300,232,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,"sensor 2E15 (chip1) is at -1000V current=-84, sensor 5E15 (chip0) is at -700V current=-94"
12/11/2013,12:41,2305,002306,-1,,300,0,,,see comment,CCE_v4.ini,-23.51,1.79,7.85,see comment,001613,300,194,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,"sensor 2E15 (chip1) is at -900V current=-53.2, sensor 5E15 (chip0) is at -750V current=-106.3"
12/11/2013,13:22,2310,002311,-1,,300,0,,,see comment,CCE_v4.ini,-23.51,1.43,7.9,see comment,001614,300,232,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,"sensor 2E15 (chip1) is at -800V current=-42.2, sensor 5E15 (chip0) is at -785V current=-153"
12/11/2013,14:16,2314,002315,-1,,300,0,,,-700,CCE_v4.ini,-23.6,2.04,7.91,see comment,001615,300,230,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,"sensor 2E15 (chip1) is at -700V current=-30.5, sensor 5E15 (chip0) is at -700V current=-76.9"
13/11/2013,6:03:00,2348,002349,-1,,300,0,,,see comment,CCE_v4.ini,-23.54,1.06,7.96,see comment,001642,300,,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,"sensor 2E15 (chip1) is at -100V current=-6.8, sensor 5E15 (chip0) is at -800V current=-117.7"
13/11/2013,13:10:00,3004,003001,0,,300,0,,,-100,CCE_v4.ini,-24.28,2.74,7.85,,001643,300,149,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,13:49:00,3008,003005,0,,300,0,,,-200,CCE_v4.ini,-24.26,2.42,7.88,,001644,300,233,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,14:14:00,3009,003010,0,,300,0,,,-300,CCE_v4.ini,-24.28,1.89,7.81,,001645,300,219,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,17:47:00,3040,003037,0,,300,0,,,-400,CCE_v4.ini,-24.13,1.15,7.22,,001652,300,234,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,17:21:00,3036,003033,0,,300,0,,,-500,CCE_v4.ini,-24.14,1.11,7.23,,001651,300,228,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
13/11/2013,16:50:00,3032,003029,0,,300,0,,,-600,CCE_v4.ini,-24.21,0.9,7.26,,001650,300,189,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
